fkakkjpjfopppnjdincnpjfplbppemgf,75,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
ibnejdfjmmkpcnlpebklmnkoeoihofec,114,1,0,6,3,0,0,0,1,2,0,0,3,0,0,1,0,0,0,5,0
gmnfljgonpaelopbpfmdkdpgenbbbmjm,37,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0
locfkepdjehnijbhbhalhlbpcjlngiil,116,3,0,6,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,7,0
jdfiaeokelmocjpgojdbecceojeiffoa,28,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0
kfljfnaaeianknjadffidfiaieoclbfn,37,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0
dngdopifpnnjoochjeodonmchkmkdpga,206,3,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0
jbhnejndccdjigppalbbiphlbaaehpln,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cafaanchfgheihlpacmmpaebfmjiimfo,242,1,0,9,4,0,0,0,0,1,0,0,2,0,0,0,0,4,0,4,0
kgnmkkpfkhdijefpfjofnoaobmlemfdi,71,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0
fhkphphbadjkepgfljndicmgdlndmoke,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahbkdmbpkkealcfmkdmjjjobmijhbikl,37,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0
pliinlgkmncfmfifeepmhlbpklanflpd,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ellonhlklghkcagfccmgjjkoggchibpj,88,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0
ggglkmngaogcjmhgokaiendhkhngikok,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmnkmchfnhnpnhkmbbcpbheeogaidada,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
hoiilclmokhcmnimphknpkhnpgmfebco,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
agmedfnmijmhmmbjlofiphnkknhhnkpf,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
edkjhimmncopkdkinkgepenidbhjdpgn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfnegbgfkmihpamcnomadmncmiafdlmh,36,2,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0
ikajkbkknmkiaamgebhoeecbihbjbbki,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nddmocnmmmdebnngmdodekiojponoehj,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0
hncmdohencefmegacfphphmbplacfjaj,83,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
jbnobcphncooboncogejlkafgdfllcnb,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0
popaobiikgdmhbpgmiomfmibdkepicld,24,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0
joecdbplddjgichcinkeondgkagofkmd,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
cpiebjkjnbnhohdoookoncpamnbmgkbo,77,1,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0
neecjagmmgjdfgnochpinbchabgmedcf,24,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0
knambipkkbokpdjdikfihbfhaehegilp,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epkbohiekmlncnpcbjdjdjdppdonndph,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bkemklnfmefiejflhjpelnoopmehdkaf,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
bfogiafebfohielmmehodmfbbebbbpei,234,1,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
ipcechkmeiigaochdbmdjlfaehaldofa,40,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0
cmbckmgialhbnaimipifgglejcjkpglk,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0
aoenliokfigakkonhomojkgfigdmffpk,33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
kiokldggbjmigpcljejjeaemehoeobob,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
afecmgamjkpknejebfhhkddcdiijmjag,65,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
mjbahabeliajchidknchoehlecncjpol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
gkjhajinodjkbcmfkbognekmkiolbfam,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
pkojgbnfcigjlcdlklkpgdpklbjmlmig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
